Serial Number,Main Office,Branch Number,Established Date,Acquired Date,City,County,State,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
1,0,2866,02/06/1910,11/13/2004,Wales,Waukesha,WI,21386,23981,24825,26908,30681,30680,37564
2,0,2867,02/28/1910,11/13/2004,Germantown,Washington,WI,55454,56564,64732,73523,81357,89270,106177
3,0,2868,05/06/1907,11/13/2004,Brookfield,Waukesha,WI,90882,104300,125038,125906,132501,137363,145054
4,0,2869,06/20/1936,11/13/2004,Pewaukee,Waukesha,WI,45674,49288,53251,70402,74742,73837,85996
5,0,2870,04/22/1963,11/13/2004,Waukesha,Waukesha,WI,64181,72217,69920,80703,75971,73225,81706
6,0,2871,01/27/1969,11/13/2004,Waukesha,Waukesha,WI,62558,67728,78847,93520,100658,112495,126153
7,0,2872,12/17/1962,11/13/2004,Brookfield,Waukesha,WI,78437,87150,102144,119436,133107,142844,163181
8,0,2873,01/04/1960,11/13/2004,New Berlin,Waukesha,WI,84622,96048,103946,109836,120717,123166,134546
9,0,2874,06/02/1932,11/13/2004,Oconomowoc,Waukesha,WI,48467,48696,54702,56942,55845,58260,62909
10,0,2875,02/17/1947,11/13/2004,Butler,Waukesha,WI,49281,48689,48674,52221,53590,55746,59030
11,0,2876,05/20/1968,11/13/2004,Muskego,Waukesha,WI,30742,31913,33119,41364,45835,55260,63156
12,0,2877,03/01/1983,11/13/2004,Waukesha,Waukesha,WI,29481,31025,34804,40111,42388,47323,49182
13,0,2878,02/14/1990,11/13/2004,Franklin,Milwaukee,WI,56835,62106,68988,82588,95886,104988,117156
14,0,2879,02/14/1991,11/13/2004,Milwaukee,Milwaukee,WI,44165,51546,51797,58531,66405,71243,86112
15,0,2880,02/14/1992,11/13/2004,Milwaukee,Milwaukee,WI,41386,44935,53885,58062,62966,68055,72966
16,0,2881,01/01/1902,11/13/2004,Fond Du Lac,Fond du Lac,WI,32264,32588,34777,38558,64982,65242,71102
17,0,2883,01/01/1933,11/13/2004,Oshkosh,Winnebago,WI,43650,43171,45133,48321,49082,50828,51461
18,0,2884,05/13/1974,11/13/2004,Oshkosh,Winnebago,WI,20742,21347,21619,23389,24712,27404,29424
19,0,2885,03/05/1987,11/13/2004,Racine,Racine,WI,32374,32970,33703,34882,35689,35511,38360
20,0,2886,01/01/1853,11/13/2004,Racine,Racine,WI,38879,44762,53897,56107,61649,69091,72803
21,0,2887,02/15/1993,11/13/2004,Racine,Racine,WI,23586,25819,32530,33684,34126,33759,40099
22,0,2888,12/06/1852,11/13/2004,Kenosha,Kenosha,WI,133476,161447,159164,140445,222437,211823,247154
23,0,2889,05/07/1969,11/13/2004,Pleasant Prairie,Kenosha,WI,36034,39054,47172,54680,55359,57751,69128
