Serial Number,2016 Deposits
8,64351.2
9,89468.9
10,87875.7
17,86247.8
30,61659.3
43,59136.1
51,56063.9
82,49250.5
89,24972.5
112,84443.8
115,85368.9
117,75122.4
118,86592.5
123,65599.3
126,37632.4
143,52774.2
144,84740.4
151,86442.7
152,64502.4
170,56455.8
172,83006.9
175,73443.4
190,38111.4
198,69977.1
203,41337.5
249,89449.2
274,67624.3
276,41845.9
277,27543.6
278,33314.1
279,60152.7
280,79454.0
281,42579.5
284,75703.8
287,68823.7
288,76085.9
289,80574.4
291,66011.1
292,25628.7
293,77174.5
294,58525.0
295,45404.3
297,34589.4
298,85367.2
299,45823.7
301,39495.4
303,69256.9
304,37385.9
305,78167.9
307,44743.5
310,78483.2
315,22442.4
317,43412.3
318,70335.8
326,86953.5
330,38666.0
332,87296.7
341,78231.6
346,84156.7
354,54961.5
356,56669.7
362,79930.6
381,38470.8
393,46916.3
395,34438.2
423,88921.9
437,53002.7
440,51419.7
445,43430.6
453,87516.7
465,89302.3
466,58392.1
471,64804.4
474,85749.9
476,68727.7
481,69326.8
483,68086.3
485,82587.2
486,82135.5
493,61433.2
494,45815.3
496,61584.0
497,25939.7
498,39161.9
502,86713.8
504,72037.4
512,57796.8
515,36858.8
516,22838.7
517,35285.6
524,31968.1
526,23044.5
527,48861.6
531,84083.2
533,61536.4
534,79087.5
537,49144.9
538,34379.5
540,63807.0
541,84507.6
545,67966.0
546,49049.6
548,43848.5
549,45765.5
551,42705.9
553,71952.2
557,41628.8
558,69798.6
559,89819.4
561,31164.6
563,35665.7
564,70311.5
565,34796.1
566,67590.9
567,43253.1
568,53324.0
569,48077.7
570,42902.1
571,78248.2
572,75259.8
573,40791.3
575,77569.2
578,20126.8
582,58500.7
583,79245.4
584,77726.6
585,46547.5
587,84914.2
588,36337.2
589,60155.5
590,53109.2
591,33996.4
592,67004.6
596,40548.8
598,24005.8
599,59255.7
602,89016.1
603,70906.9
604,77531.0
607,43032.8
608,83103.9
609,26170.8
610,28092.3
611,66019.7
612,28646.4
613,82651.7
615,73939.3
616,39495.4
619,46762.3
620,58456.3
621,57920.3
622,41946.2
624,71906.7
625,55946.7
627,73298.9
628,38340.5
629,69979.2
630,85014.2
631,53420.0
632,36856.0
633,58609.5
634,63428.2
635,40113.1
637,48920.0
638,72153.9
641,48378.0
642,35947.9
644,47168.1
645,43051.5
646,38115.6
647,78762.4
648,41880.1
649,46373.6
650,47610.3
652,49902.3
653,70071.3
654,29466.4
655,51446.7
656,79686.2
658,76326.2
659,36093.0
662,41412.2
663,70248.6
664,57501.1
665,53221.5
666,56597.1
667,34750.7
668,43729.4
669,79674.3
670,42183.7
671,80187.6
672,48702.5
673,69839.2
674,88272.2
675,33234.4
676,54839.5
677,43384.5
678,53301.0
681,87101.1
682,23413.9
683,38375.5
684,69778.4
685,22699.7
687,49137.2
688,47822.7
689,51681.0
690,46472.3
691,42739.4
692,72774.9
693,39571.7
694,39401.4
695,47664.3
